emb 0,emb 1,emb 2,emb 3,emb 4,emb 5,emb 6,emb 7,labels
1.6958477,2.1334205,2.6237047,1.651083,1.4922036,0.52195305,1.0280733,1.5038319,neutral
2.070084,2.3423858,2.9218745,1.6365205,1.4315047,0.36948672,1.0312043,1.7866794,neutral
1.7363684,2.1159806,2.7576482,1.8606772,1.4506246,0.59169245,1.0436057,1.2933819,neutral
1.5661888,2.184062,2.6250873,1.6746614,1.2031665,0.19683751,1.2906582,1.5896374,neutral
2.0119212,2.0374594,2.6932995,1.6399204,1.1623732,0.47902384,1.1263604,1.4510936,neutral
1.8433658,1.91289,2.7783513,1.4536783,1.1139303,0.4412571,1.2107643,1.8372357,neutral
2.053378,1.9229612,2.6515813,1.9225103,1.1534106,0.56778234,1.1448915,1.214207,neutral
1.8001294,2.2655008,2.4657025,1.6403393,1.3271347,0.36378947,1.2766525,1.5392265,neutral
2.168096,2.0194442,2.5716422,1.6920033,1.4101098,0.19441277,1.2516743,1.2873883,neutral
1.9369103,2.0760736,2.7284825,1.5185144,1.2252237,0.6512349,1.0449542,1.2625499,neutral
1.8146746,1.8840791,2.8147235,1.4892213,1.4371594,0.5966588,0.9016022,1.5001134,neutral
1.504766,2.1570373,2.7358153,1.8802105,1.4617815,0.40248096,0.996391,1.4262556,neutral
1.662735,2.1402655,2.9332843,1.9947741,1.2435992,0.6789081,0.95491993,1.5479656,neutral
1.8238717,1.935477,2.6796608,1.5237939,1.3394675,0.18829337,1.1373967,1.2785262,neutral
1.9283572,2.0845284,2.5426579,1.8113112,0.9968101,0.31081143,1.091515,1.4557602,neutral
1.8634198,1.955879,2.6586275,1.4907037,1.1995863,0.54574066,1.0524557,1.4922794,neutral
1.7772444,2.0669777,2.4434125,1.5607859,1.2332704,0.4342694,1.1404233,1.5530508,neutral
2.0183077,2.3035932,2.9484901,1.8607824,1.1678693,0.57657856,1.0799981,1.4563314,neutral
1.5131071,1.9571629,3.038651,1.8142518,1.6287446,0.56018853,0.96087646,1.3643861,neutral
1.6693907,1.9883417,2.7298534,1.6757958,0.98186827,0.38953778,1.3329152,1.4271865,neutral
1.9185245,1.9198567,2.525371,1.8629967,1.2939944,0.40013042,1.1384432,1.6958239,neutral
2.0182762,1.9743538,2.7866764,1.5838996,1.0587581,0.27049667,1.1962063,1.4702446,neutral
1.662735,2.1402655,2.9332843,1.9947741,1.2435992,0.6789081,0.95491993,1.5479656,neutral
2.1734872,2.1109154,2.7566588,1.7269214,1.2753357,0.6276784,0.9292621,1.8100817,neutral
1.8399713,2.0046554,3.0400548,1.5037777,1.1650925,0.41167903,1.1919652,1.580547,neutral
1.9819984,2.037609,3.010283,1.7961903,1.2247549,0.30919072,1.0187147,1.4056361,neutral
2.0038931,2.0724967,2.4656076,1.768595,1.2845404,0.5049041,1.0194018,1.4188731,neutral
